Designator,Mid X,Mid Y,Layer,Rotation
C1,41.71,22.45,Top,90.0
C2,51.27,53.70,Top,180.0
C3,47.33,53.82,Top,0.0
C9,32.39,32.77,Top,45.0
C10,32.91,43.77,Top,135.0
C13,30.00,44.41,Top,90.0
D1, 2.80,50.87,Top,90.0
D2, 2.80,48.79,Top,90.0
D3, 2.80,46.71,Top,90.0
J4, 4.13,40.88,Top,270.0
R2,31.26,28.12,Top,270.0
R3,51.34,49.50,Top,0.0
R4,51.28,51.62,Top,0.0
R6, 8.47,51.00,Top,180.0
R7, 8.54,48.87,Top,180.0
R8, 8.47,46.75,Top,180.0
R10,26.05,29.39,Top,270.0
R12,35.18,35.97,Top,0.0
R14,34.00,27.93,Top,0.0
R16,45.37,39.21,Top,180.0
S1,31.63,50.91,Top,270.0
TP1, 8.02,37.85,Top,0.0
TP2,33.44,37.60,Top,0.0
TP3,11.11,42.48,Top,0.0
TP4,13.62,41.55,Top,0.0
TP5,15.79,40.93,Top,0.0
U1,27.51,37.94,Top,45.0
U2,45.88,50.44,Top,270.0
U3,38.38,50.53,Top,270.0
U5,41.82,30.45,Top,0.0
U6,39.73,40.12,Top,180.0
X1,22.01,33.12,Top,270.0
